GEO_ID,Census_Tract,Median household income in the past 12 months (in 2020 inflation-adjusted dollars),"Median household income in the past 12 months (in 2020 inflation-adjusted dollars), Owner occupied (dollars)","Median household income in the past 12 months (in 2020 inflation-adjusted dollars), Renter occupied (dollars)"
0500000US06037,"Los Angeles County, California",71358,102854,51828
1400000US06037101110,"Census Tract 1011.10, Los Angeles County, California",74625,92891,52188
1400000US06037101122,"Census Tract 1011.22, Los Angeles County, California",93125,104033,69576
1400000US06037101220,"Census Tract 1012.20, Los Angeles County, California",55682,113705,40417
1400000US06037101221,"Census Tract 1012.21, Los Angeles County, California",46274,94808,42054
1400000US06037101222,"Census Tract 1012.22, Los Angeles County, California",30016,65982,27083
1400000US06037101300,"Census Tract 1013, Los Angeles County, California",87066,86480,110694
1400000US06037101400,"Census Tract 1014, Los Angeles County, California",66210,91923,45773
1400000US06037102103,"Census Tract 1021.03, Los Angeles County, California",59005,76667,37250
1400000US06037102104,"Census Tract 1021.04, Los Angeles County, California",98973,97835,107625
1400000US06037102105,"Census Tract 1021.05, Los Angeles County, California",82438,102946,47679
1400000US06037102107,"Census Tract 1021.07, Los Angeles County, California",83200,105250,53448
1400000US06037103101,"Census Tract 1031.01, Los Angeles County, California",109000,123462,-
1400000US06037103102,"Census Tract 1031.02, Los Angeles County, California",71038,76910,30703
1400000US06037103201,"Census Tract 1032.01, Los Angeles County, California",73844,115667,58320
1400000US06037103202,"Census Tract 1032.02, Los Angeles County, California",106125,110357,45125
1400000US06037103300,"Census Tract 1033, Los Angeles County, California",113568,114818,86726
1400000US06037103401,"Census Tract 1034.01, Los Angeles County, California",109271,123177,-
1400000US06037103402,"Census Tract 1034.02, Los Angeles County, California",112306,120684,-
1400000US06037104103,"Census Tract 1041.03, Los Angeles County, California",102128,113977,47500
1400000US06037104105,"Census Tract 1041.05, Los Angeles County, California",50483,73393,27028
1400000US06037104108,"Census Tract 1041.08, Los Angeles County, California",51207,92604,35739
1400000US06037104124,"Census Tract 1041.24, Los Angeles County, California",71000,79409,32955
1400000US06037104201,"Census Tract 1042.01, Los Angeles County, California",71447,83598,39271
1400000US06037104203,"Census Tract 1042.03, Los Angeles County, California",45972,94904,24033
1400000US06037104204,"Census Tract 1042.04, Los Angeles County, California",59844,83958,31575
1400000US06037104310,"Census Tract 1043.10, Los Angeles County, California",90893,83125,105000
1400000US06037104321,"Census Tract 1043.21, Los Angeles County, California",31645,111750,26713
1400000US06037104322,"Census Tract 1043.22, Los Angeles County, California",66083,120324,55142
1400000US06037104401,"Census Tract 1044.01, Los Angeles County, California",59464,76188,40114
1400000US06037104403,"Census Tract 1044.03, Los Angeles County, California",68929,79813,60750
1400000US06037104404,"Census Tract 1044.04, Los Angeles County, California",53594,81500,45293
1400000US06037104500,"Census Tract 1045, Los Angeles County, California",65956,79786,50335
1400000US06037104610,"Census Tract 1046.10, Los Angeles County, California",57188,82738,30870
1400000US06037104620,"Census Tract 1046.20, Los Angeles County, California",68750,75648,-
1400000US06037104701,"Census Tract 1047.01, Los Angeles County, California",42542,71625,39261
1400000US06037104703,"Census Tract 1047.03, Los Angeles County, California",42589,81875,32143
1400000US06037104704,"Census Tract 1047.04, Los Angeles County, California",44647,47132,38403
1400000US06037104821,"Census Tract 1048.21, Los Angeles County, California",70655,86336,40917
1400000US06037104822,"Census Tract 1048.22, Los Angeles County, California",53542,99167,37024
1400000US06037104823,"Census Tract 1048.23, Los Angeles County, California",90852,97031,40526
1400000US06037104824,"Census Tract 1048.24, Los Angeles County, California",73365,93864,-
1400000US06037106010,"Census Tract 1060.10, Los Angeles County, California",96964,113938,75486
1400000US06037106020,"Census Tract 1060.20, Los Angeles County, California",85800,100972,72804
1400000US06037106111,"Census Tract 1061.11, Los Angeles County, California",107277,113333,95868
1400000US06037106112,"Census Tract 1061.12, Los Angeles County, California",96688,103417,-
1400000US06037106113,"Census Tract 1061.13, Los Angeles County, California",99952,124148,49429
1400000US06037106114,"Census Tract 1061.14, Los Angeles County, California",65970,90208,45511
1400000US06037106403,"Census Tract 1064.03, Los Angeles County, California",82875,91319,38421
1400000US06037106405,"Census Tract 1064.05, Los Angeles County, California",64490,86625,54231
1400000US06037106406,"Census Tract 1064.06, Los Angeles County, California",89059,95893,-
1400000US06037106407,"Census Tract 1064.07, Los Angeles County, California",33125,48580,26875
1400000US06037106408,"Census Tract 1064.08, Los Angeles County, California",54038,85469,47907
1400000US06037106510,"Census Tract 1065.10, Los Angeles County, California",85032,112560,61354
1400000US06037106520,"Census Tract 1065.20, Los Angeles County, California",71435,75800,67880
1400000US06037106603,"Census Tract 1066.03, Los Angeles County, California",130806,131333,118681
1400000US06037106604,"Census Tract 1066.04, Los Angeles County, California",56794,98566,48750
1400000US06037106641,"Census Tract 1066.41, Los Angeles County, California",111000,117383,54432
1400000US06037106642,"Census Tract 1066.42, Los Angeles County, California",112273,125335,-
1400000US06037106643,"Census Tract 1066.43, Los Angeles County, California",176429,181324,84293
1400000US06037106645,"Census Tract 1066.45, Los Angeles County, California",114295,128036,51675
1400000US06037106646,"Census Tract 1066.46, Los Angeles County, California",111758,119500,77537
1400000US06037106648,"Census Tract 1066.48, Los Angeles County, California",72165,91827,57083
1400000US06037106649,"Census Tract 1066.49, Los Angeles County, California",94471,101029,39861
1400000US06037107010,"Census Tract 1070.10, Los Angeles County, California",71546,81534,53750
1400000US06037107020,"Census Tract 1070.20, Los Angeles County, California",80739,85947,59028
1400000US06037108101,"Census Tract 1081.01, Los Angeles County, California",141250,146313,86000
1400000US06037108102,"Census Tract 1081.02, Los Angeles County, California",109091,111200,77500
1400000US06037108103,"Census Tract 1081.03, Los Angeles County, California",130585,132154,107850
1400000US06037108104,"Census Tract 1081.04, Los Angeles County, California",150125,151625,142222
1400000US06037108202,"Census Tract 1082.02, Los Angeles County, California",135603,170833,70140
1400000US06037108203,"Census Tract 1082.03, Los Angeles County, California",128646,135938,-
1400000US06037108204,"Census Tract 1082.04, Los Angeles County, California",125536,129063,119293
1400000US06037109100,"Census Tract 1091, Los Angeles County, California",70000,81324,-
1400000US06037109200,"Census Tract 1092, Los Angeles County, California",111293,115117,111164
1400000US06037109300,"Census Tract 1093, Los Angeles County, California",96339,96339,-
1400000US06037109400,"Census Tract 1094, Los Angeles County, California",83986,81607,91827
1400000US06037109500,"Census Tract 1095, Los Angeles County, California",53594,64226,41944
1400000US06037109601,"Census Tract 1096.01, Los Angeles County, California",95820,96742,45563
1400000US06037109603,"Census Tract 1096.03, Los Angeles County, California",65060,94438,32115
1400000US06037109604,"Census Tract 1096.04, Los Angeles County, California",91776,95000,-
1400000US06037109700,"Census Tract 1097, Los Angeles County, California",103153,103341,92222
1400000US06037109800,"Census Tract 1098, Los Angeles County, California",87750,91731,61424
1400000US06037111100,"Census Tract 1111, Los Angeles County, California",107386,112639,106000
1400000US06037111201,"Census Tract 1112.01, Los Angeles County, California",102266,108875,71050
1400000US06037111202,"Census Tract 1112.02, Los Angeles County, California",115799,109306,120859
1400000US06037111204,"Census Tract 1112.04, Los Angeles County, California",150732,146349,151316
1400000US06037111205,"Census Tract 1112.05, Los Angeles County, California",67482,90469,66486
1400000US06037111206,"Census Tract 1112.06, Los Angeles County, California",122014,116972,161419
1400000US06037111302,"Census Tract 1113.02, Los Angeles County, California",62289,110625,41944
1400000US06037111303,"Census Tract 1113.03, Los Angeles County, California",98617,130179,68884
1400000US06037111304,"Census Tract 1113.04, Los Angeles County, California",57581,-,55580
1400000US06037111401,"Census Tract 1114.01, Los Angeles County, California",124946,139792,67917
1400000US06037111402,"Census Tract 1114.02, Los Angeles County, California",47967,91250,41693
1400000US06037113101,"Census Tract 1131.01, Los Angeles County, California",108587,109348,86471
1400000US06037113102,"Census Tract 1131.02, Los Angeles County, California",154514,156513,-
1400000US06037113211,"Census Tract 1132.11, Los Angeles County, California",93571,94092,91927
1400000US06037113212,"Census Tract 1132.12, Los Angeles County, California",94464,118594,82604
1400000US06037113213,"Census Tract 1132.13, Los Angeles County, California",112222,146439,49531
1400000US06037113231,"Census Tract 1132.31, Los Angeles County, California",113929,121375,-
1400000US06037113232,"Census Tract 1132.32, Los Angeles County, California",126424,133185,-
1400000US06037113234,"Census Tract 1132.34, Los Angeles County, California",61580,70365,56290
1400000US06037113235,"Census Tract 1132.35, Los Angeles County, California",105333,136094,74167
1400000US06037113237,"Census Tract 1132.37, Los Angeles County, California",116696,180142,48102
1400000US06037113238,"Census Tract 1132.38, Los Angeles County, California",57523,100333,51582
1400000US06037113239,"Census Tract 1132.39, Los Angeles County, California",44698,-,44612
1400000US06037113301,"Census Tract 1133.01, Los Angeles County, California",84975,188047,60521
1400000US06037113303,"Census Tract 1133.03, Los Angeles County, California",88567,89009,81250
1400000US06037113322,"Census Tract 1133.22, Los Angeles County, California",96387,102778,79950
1400000US06037113323,"Census Tract 1133.23, Los Angeles County, California",77596,82639,77417
1400000US06037113324,"Census Tract 1133.24, Los Angeles County, California",86347,132632,85890
1400000US06037113423,"Census Tract 1134.23, Los Angeles County, California",96108,99451,64097
1400000US06037113424,"Census Tract 1134.24, Los Angeles County, California",89661,131452,-
1400000US06037113425,"Census Tract 1134.25, Los Angeles County, California",55791,138063,54500
1400000US06037113426,"Census Tract 1134.26, Los Angeles County, California",62443,86920,54471
